date,CDD_t,HDD_t
2024-08-20,25.75,0.0
2024-08-21,25.75,0.0
2024-08-22,26.25,0.0
2024-08-23,26.25,0.0
2024-08-24,22.75,0.0
2024-08-25,21.75,0.0
2024-08-26,20.0,0.0
2024-08-27,17.0,0.0
2024-08-28,17.0,0.0
2024-08-29,16.25,0.0
2024-08-30,16.0,0.0
2024-08-31,16.25,0.0
2024-09-01,17.0,0.0
2024-09-02,13.75,0.0
2024-09-03,11.0,0.0
2024-09-04,10.5,0.0
2024-09-05,12.5,0.0
2024-09-06,13.0,0.0
2024-09-07,12.5,0.0
2024-09-08,10.25,0.0
2024-09-09,9.5,0.0
2024-09-10,12.0,0.0
2024-09-11,12.75,0.0
2024-09-12,12.75,0.0
2024-09-13,15.75,0.0
2024-09-14,19.25,0.0
2024-09-15,18.5,0.0
2024-09-16,17.0,0.0
2024-09-17,16.75,0.0
2024-09-18,18.5,0.0
2024-09-19,20.25,0.0
2024-09-20,20.25,0.0
2024-09-21,19.5,0.0
2024-09-22,17.75,0.0
2024-09-23,12.5,0.0
2024-09-24,14.0,0.0
2024-09-25,15.25,0.0
2024-09-26,10.75,0.0
2024-09-27,11.5,0.0
2024-09-28,12.5,0.0
2024-09-29,12.0,0.0
2024-09-30,12.75,0.0
2024-10-01,14.25,0.0
2024-10-02,14.0,0.0
2024-10-03,14.25,0.0
2024-10-04,14.0,0.0
2024-10-05,13.75,0.0
2024-10-06,14.25,0.0
2024-10-07,13.25,0.0
2024-10-08,12.25,0.0
2024-10-09,10.25,0.0
2024-10-10,12.5,0.0
2024-10-11,12.75,0.0
2024-10-12,13.0,0.0
2024-10-13,14.75,0.0
2024-10-14,13.5,0.0
2024-10-15,11.75,0.0
2024-10-16,2.5,0.0
2024-10-17,0.0,3.5
2024-10-18,0.75,0.0
2024-10-19,4.75,0.0
2024-10-20,5.5,0.0
2024-10-21,5.75,0.0
2024-10-22,8.25,0.0
2024-10-23,10.5,0.0
2024-10-24,11.5,0.0
2024-10-25,10.25,0.0
2024-10-26,8.75,0.0
2024-10-27,9.5,0.0
2024-10-28,11.5,0.0
2024-10-29,12.5,0.0
2024-10-30,12.75,0.0
2024-10-31,8.0,0.0
2024-11-01,5.25,0.0
2024-11-02,8.0,0.0
2024-11-03,10.75,0.0
2024-11-04,10.0,0.0
2024-11-05,0.75,0.0
2024-11-06,0.0,0.75
2024-11-07,4.5,0.0
2024-11-08,4.25,0.0
2024-11-09,0.0,1.5
2024-11-10,1.25,0.0
2024-11-11,1.25,0.0
2024-11-12,1.5,0.0
2024-11-13,2.25,0.0
2024-11-14,0.0,3.0
2024-11-15,0.0,5.25
2024-11-16,0.0,1.25
2024-11-17,4.75,0.0
2024-11-18,5.25,0.0
2024-11-19,0.0,3.25
2024-11-20,0.0,7.75
2024-11-21,0.0,11.25
2024-11-22,0.0,9.75
2024-11-23,0.0,6.5
2024-11-24,1.25,0.0
2024-11-25,0.25,0.0
2024-11-26,0.0,13.25
2024-11-27,0.0,1.5
2024-11-28,0.0,8.25
2024-11-29,0.0,18.0
2024-11-30,0.0,16.25
2024-12-01,0.0,10.0
2024-12-02,0.0,11.5
2024-12-03,0.0,11.5
2024-12-04,0.0,9.0
2024-12-05,0.0,8.75
2024-12-06,0.0,17.0
2024-12-07,0.0,18.5
2024-12-08,0.0,14.5
2024-12-09,0.0,5.5
2024-12-10,0.0,12.0
2024-12-11,0.0,19.0
2024-12-12,0.0,17.25
2024-12-13,0.0,8.0
2024-12-14,0.0,2.5
2024-12-15,0.0,0.5
2024-12-16,3.0,0.0
2024-12-17,0.0,2.25
2024-12-18,0.0,2.25
2024-12-19,0.0,14.0
2024-12-20,0.0,12.25
2024-12-21,0.0,15.75
2024-12-22,0.0,14.5
2024-12-23,0.0,5.75
2024-12-24,0.0,3.0
2024-12-25,0.0,8.0
2024-12-26,0.0,6.5
2024-12-27,0.0,6.0
2024-12-28,0.0,0.0
2024-12-29,0.0,7.25
2024-12-30,0.0,2.5
2024-12-31,0.0,6.75
